YEAR,SEASON,GHID,REP,PLOTNO,FL,MAT,PLTHGT,TILLER,LDG,Plot_Yld,Kg_ha
2012,1,B1111,1,7108,86,116,109,15,0,2943,5048
2012,1,B1111,2,8143,88,118,115,24,0,2646,4472
2012,1,B1161,1,7076,84,114,104,22,0,2794,4846
2012,1,B1161,2,8107,84,114,91,14,0,2523,4317
2012,1,B1062,1,5035,82,112,95,18,0,2946,5144
2012,1,B1062,2,6067,83,113,95,10,0,2940,4985
2012,1,B1010,1,5004,79,109,103,24,0,2924,5077
2012,1,B1010,2,6019,78,108,94,13,0,3322,5756
2012,1,B1217,1,7156,93,123,116,9,0,2933,4831
2012,1,B1217,2,8028,94,124,113,14,0,3483,5981
2012,1,B1218,1,7023,86,116,103,18,0,3173,5325
2012,1,B1218,2,8041,87,117,98,20,0,2570,4358
2012,1,B1219,1,5049,86,116,108,19,0,3011,5164
2012,1,B1219,2,6059,87,117,107,11,0,3154,5367
2012,1,B1220,1,5008,80,110,103,14,0,2708,4755
2012,1,B1220,2,6074,81,111,110,19,0,2723,4649
2012,1,B1058,1,5065,81,111,105,12,0,3243,5512
2012,1,B1058,2,6046,80,110,101,21,0,3305,5598
2012,1,B1060,1,7029,87,117,112,19,0,2311,3955
2012,1,B1060,2,8148,86,116,100,14,0,2569,4361
2012,1,B1061,1,7014,85,115,98,11,0,2601,4572
2012,1,B1061,2,8134,86,116,99,8,0,1981,3302
2012,1,B1012,1,5005,78,108,96,11,0,3116,5368
2012,1,B1012,2,6004,77,107,96,14,0,3135,5432
2012,1,B1019,1,5020,78,108,107,14,0,3199,5412
2012,1,B1019,2,6080,78,108,103,9,0,3645,6181
2012,1,B1075,1,7034,86,116,114,15,3,2027,3445
2012,1,B1075,2,8102,83,113,103,12,0,2817,4859
2012,1,M1476,1,1034,77,107,92,16,0,3444,5920
2012,1,M1476,2,2006,77,107,95,17,0,3809,6518
2012,1,A1323,1,3017,94,124,97,16,0,3717,6166
2012,1,A1323,2,4085,90,120,98,13,0,3985,6796
2012,1,A1322,1,1040,84,114,89,18,0,3551,6001
2012,1,A1322,2,2016,86,116,98,16,0,3099,5255
2012,1,A1282,1,3082,82,112,110,18,5,2369,4045
2012,1,A1282,2,4006,78,108,132,17,9,2053,3569
2012,1,A1288,1,1001,81,111,103,14,0,3842,6604
2012,1,A1288,2,2066,80,110,110,11,0,3793,6432
2012,1,A1286,1,1065,76,106,100,14,0,3032,5183
2012,1,A1286,2,2045,77,107,108,26,3,2882,4976
2012,1,A1285,1,1038,78,108,89,15,0,3231,5523
2012,1,A1285,2,2024,77,107,100,29,7,3046,5201
2012,1,A1330,1,3081,94,124,120,15,0,3081,5171
2012,1,A1330,2,4063,90,120,119,10,0,3515,6029
2012,1,A1326,1,3043,82,112,112,19,0,3091,5158
2012,1,A1326,2,4032,82,112,108,16,7,2907,4963
2012,1,A1266,1,1009,78,108,82,14,0,3170,5523
2012,1,A1266,2,2063,78,108,88,12,0,2796,4747
2012,1,A1324,1,1048,93,123,126,22,7,2325,4033
2012,1,A1324,2,2034,89,119,126,14,9,2785,4642
2012,1,A1281,1,1018,78,108,97,23,0,3143,5397
2012,1,A1281,2,2007,77,107,101,15,0,2682,4616
2012,1,A1292,1,3027,83,113,98,15,0,3550,6041
2012,1,A1292,2,4028,84,114,108,13,0,3126,5355
2012,1,A1280,1,1033,78,108,100,14,0,3130,5338
2012,1,A1280,2,2052,77,107,114,9,0,2856,4865
2012,1,A1289,1,1054,80,110,122,8,5,2885,4993
2012,1,A1289,2,2062,80,110,111,15,9,2777,4784
2012,1,A1287,1,3002,92,122,109,21,0,1660,2808
2012,1,A1287,2,4003,90,120,113,12,0,1402,2402
2012,1,A1293,1,1021,79,109,90,15,0,2930,5008
2012,1,A1293,2,2046,80,110,105,16,0,2874,4918
2012,1,M1428,1,1004,75,105,93,16,0,3121,5389
2012,1,M1428,2,2072,77,107,106,16,0,3472,5989
2012,1,A1291,1,3094,82,112,100,17,0,3141,5418
2012,1,A1291,2,4034,82,112,111,12,9,2913,4990
2012,1,A1290,1,1041,80,110,86,18,0,2970,5094
2012,1,A1290,2,2049,78,108,94,17,0,2943,5116
2012,1,A1284,1,1069,81,111,98,14,0,2690,4650
2012,1,A1284,2,2005,84,114,106,14,0,2809,4801
2012,1,A1329,1,3068,90,120,118,15,0,3554,5937
2012,1,A1329,2,4067,90,120,115,15,0,3266,5716
2012,1,A1328,1,3005,87,117,103,12,0,3837,6648
2012,1,A1328,2,4027,89,119,115,12,0,3269,5771
2012,1,A1271,1,1071,77,107,97,10,0,3500,6030
2012,1,A1271,2,2041,77,107,103,15,0,3714,6363
2012,1,A1278,1,1045,81,111,108,20,0,3389,5760
2012,1,A1278,2,2044,79,109,108,14,0,3467,5886
2012,1,A1325,1,3055,85,115,102,17,0,3001,5106
2012,1,A1325,2,4019,84,114,115,19,0,2839,4869
2012,1,A1283,1,3003,80,110,109,13,0,3350,5720
2012,1,A1283,2,4081,83,113,110,18,0,3214,5487
2012,1,M1377,1,9001,84,114,115,18,0,2627,4465
2012,1,M1377,2,10027,86,116,114,11,0,2432,4199
2012,1,M1376,1,9056,85,115,128,10,0,1589,2719
2012,1,M1376,2,10024,86,116,124,16,0,1880,3155
2012,1,M1375,1,9048,87,117,112,10,0,1677,2883
2012,1,M1375,2,10047,85,115,119,9,0,1735,2962
2012,1,M1373,1,9031,87,117,111,14,0,2000,3403
2012,1,M1373,2,10005,89,119,116,13,0,1830,3082
2012,1,M1379,1,11017,84,114,110,8,0,2377,4054
2012,1,M1379,2,12025,85,115,100,10,0,2468,4161
2012,1,M1422,1,9034,84,114,103,12,0,2549,4401
2012,1,M1422,2,10020,84,114,108,20,0,2451,4132
2012,1,M1421,1,9043,78,108,118,13,0,1757,3048
2012,1,M1421,2,10016,77,107,110,12,0,1898,3211
2012,1,M1410,1,11044,85,115,114,14,0,2816,4835
2012,1,M1410,2,12030,84,114,113,16,0,3113,5249
2012,1,B1037,1,5046,80,110,112,13,9,2651,4685
2012,1,B1037,2,6034,80,110,106,19,7,2396,4142
2012,1,B1035,1,5024,78,108,109,12,0,2996,5121
2012,1,B1035,2,6001,83,113,109,19,0,3253,5535
2012,1,B1034,1,5093,78,108,106,15,0,3244,5526
2012,1,B1034,2,6012,77,107,112,12,0,3152,5369
2012,1,B1227,1,7107,89,119,113,18,0,3001,5042
2012,1,B1227,2,8051,94,124,120,17,0,2896,4838
2012,1,B1085,1,7143,85,115,108,17,0,2511,4263
2012,1,B1085,2,8013,87,117,89,13,0,2791,4846
2012,1,B1032,1,5038,81,111,121,14,0,2632,4555
2012,1,B1032,2,6023,83,113,125,10,5,2528,4306
2012,1,B1028,1,5029,78,108,114,8,9,3317,5657
2012,1,B1028,2,6051,78,108,135,23,9,2871,4946
2012,1,B1165,1,7043,86,116,110,10,0,2707,4543
2012,1,B1165,2,8140,86,116,114,15,9,2694,4605
2012,1,B1122,1,7036,86,116,97,14,0,2620,4423
2012,1,B1122,2,8062,85,115,117,17,0,2268,3868
2012,1,B1163,1,7113,90,120,113,14,0,2857,4828
2012,1,B1163,2,8031,93,123,123,19,0,2761,4725
2012,1,B1036,1,5012,80,110,113,14,0,3181,5573
2012,1,B1036,2,6090,80,110,115,11,0,3207,5463
2012,1,M1372,1,7057,90,120,126,12,0,2395,4052
2012,1,M1372,2,8014,89,119,109,18,0,2923,5013
2012,1,B1080,1,7165,83,113,109,10,0,2679,4569
2012,1,B1080,2,8007,84,114,95,12,0,2459,4241
2012,1,B1223,1,7131,89,119,99,10,0,2340,3986
2012,1,B1223,2,8057,92,122,96,24,0,2240,3794
2012,1,B1063,1,5098,75,105,67,12,0,1608,2730
2012,1,B1063,2,6020,76,106,76,12,0,1553,2715
2012,1,M1370,1,5099,80,110,118,14,0,2932,4887
2012,1,M1370,2,6037,80,110,118,22,0,3074,5254
2012,1,B1166,1,7098,90,120,106,16,0,3762,6365
2012,1,B1166,2,8163,93,123,109,16,0,3581,5989
2012,1,B1082,1,7082,95,125,114,12,0,3391,5704
2012,1,B1082,2,8049,95,125,117,22,0,3651,6149
2012,1,B1235,1,7138,88,118,115,17,0,2953,4979
2012,1,B1235,2,8120,90,120,105,23,0,3477,6051
2012,1,B1231,1,7106,90,120,115,17,0,2389,4019
2012,1,B1231,2,8088,91,121,112,17,0,2566,4307
2012,1,B1230,1,7022,94,124,116,14,0,2612,4505
2012,1,B1230,2,8060,94,124,111,13,0,2393,4063
2012,1,B1229,1,7001,91,121,106,12,0,2954,5066
2012,1,B1229,2,8077,87,117,105,14,0,3160,5254
2012,1,B1228,1,7038,93,123,103,13,0,2363,4039
2012,1,B1228,2,8167,93,123,114,14,0,2500,4268
2012,1,B1225,1,7090,94,124,108,11,0,2808,4783
2012,1,B1225,2,8078,93,123,107,10,0,3028,5205
2012,1,B1164,1,7037,95,125,117,16,0,1731,3009
2012,1,B1164,2,8138,94,124,110,13,0,2145,3762
2012,1,B1083,1,5044,79,109,102,13,0,2747,4722
2012,1,B1083,2,6091,77,107,99,17,0,3009,5137
2012,1,B1018,1,5011,77,107,97,22,0,2779,4750
2012,1,B1018,2,6068,76,106,92,12,0,2738,4776
2012,1,B1017,1,5019,79,109,88,9,0,3232,5499
2012,1,B1017,2,6040,78,108,86,12,0,3200,5420
2012,1,B1065,1,5014,78,108,85,23,0,1954,3317
2012,1,B1065,2,6035,81,111,90,21,0,2122,3668
2012,1,B1016,1,7055,88,118,104,17,0,2728,4748
2012,1,B1016,2,8038,88,118,107,18,0,2534,4312
2012,1,B1039,1,5083,78,108,93,16,0,2841,4895
2012,1,B1039,2,6005,81,111,92,22,0,2799,4773
2012,1,B1038,1,5092,78,108,99,15,0,3341,5730
2012,1,B1038,2,6025,76,106,96,12,0,3448,5860
2012,1,M1371,1,5030,80,110,100,13,0,2220,3752
2012,1,M1371,2,6014,78,108,97,11,0,2671,4633
2012,1,B1090,1,5069,81,111,97,14,0,2271,3930
2012,1,B1090,2,6100,80,110,96,11,0,2930,4980
2012,1,B1033,1,5067,81,111,109,13,3,3280,5721
2012,1,B1033,2,6030,78,108,107,22,0,3169,5447
2012,1,B1234,1,7148,90,120,118,13,0,2745,4575
2012,1,B1234,2,8091,89,119,116,17,0,2875,4920
2012,1,B1233,1,7042,88,118,94,13,0,2455,4163
2012,1,B1233,2,8112,91,121,93,11,0,2611,4402
2012,1,B1232,1,7041,90,120,118,20,0,2714,4634
2012,1,B1232,2,8009,93,123,112,16,0,3021,5181
2012,1,B1086,1,7168,87,117,107,19,0,2919,4961
2012,1,B1086,2,8047,90,120,110,22,0,3045,5329
2012,1,M1383,1,5088,80,110,99,16,0,3153,5341
2012,1,M1383,2,6071,81,111,96,13,0,3043,5190
2012,1,B1014,1,5077,79,109,90,16,0,3046,5313
2012,1,B1014,2,6016,81,111,99,11,0,2917,5003
2012,1,B1064,1,5076,84,114,93,15,0,2602,4488
2012,1,B1064,2,6027,82,112,81,17,0,2971,4992
2012,1,B1066,1,5022,82,112,103,21,0,2710,4664
2012,1,B1066,2,6060,83,113,100,12,0,3021,5164
2012,1,B1067,1,5040,81,111,104,13,0,3204,5495
2012,1,B1067,2,6017,80,110,102,10,0,3229,5613
2012,1,B1068,1,5047,83,113,100,14,0,2975,5160
2012,1,B1068,2,6072,81,111,98,17,0,3020,5168
2012,1,B1069,1,5015,78,108,100,25,0,2606,4535
2012,1,B1069,2,6094,80,110,100,23,0,2630,4434
2012,1,B1070,1,5078,83,113,95,15,0,3976,6912
2012,1,B1070,2,6055,83,113,98,14,0,3546,6027
2012,1,B1071,1,7134,84,114,89,12,0,2717,4744
2012,1,B1071,2,8021,84,114,82,27,0,2880,5096
2012,1,B1072,1,5063,83,113,84,13,0,2454,4275
2012,1,B1072,2,6033,81,111,95,22,0,2978,5131
2012,1,B1073,1,7164,84,114,105,18,0,2820,4848
2012,1,B1073,2,8108,86,116,97,21,0,3135,5383
2012,1,B1074,1,5087,80,110,107,15,0,3074,5195
2012,1,B1074,2,6007,83,113,103,14,0,3292,5499
2012,1,B1076,1,5006,82,112,95,16,0,2945,5017
2012,1,B1076,2,6064,82,112,100,10,0,2928,5022
2012,1,B1113,1,7161,82,112,89,20,0,2643,4564
2012,1,B1113,2,8004,84,114,88,19,0,2892,4932
2012,1,B1114,1,7048,85,115,110,22,0,2430,4187
2012,1,B1114,2,8084,84,114,101,19,0,2145,3658
2012,1,B1116,1,7079,86,116,100,19,0,3252,5521
2012,1,B1116,2,8147,86,116,99,22,0,2817,4831
2012,1,B1117,1,5058,81,111,100,13,0,2710,4658
2012,1,B1117,2,6044,81,111,93,22,0,2795,4788
2012,1,B1118,1,5023,77,107,97,14,0,3869,6508
2012,1,B1118,2,6097,77,107,99,16,0,3599,6180
2012,1,B1119,1,7070,91,121,106,12,0,1562,2621
2012,1,B1119,2,8150,93,123,117,23,0,1415,2375
2012,1,B1120,1,5054,82,112,109,16,0,2917,4980
2012,1,B1120,2,6049,83,113,95,14,0,3184,5436
2012,1,B1121,1,7063,84,114,104,13,0,1534,2646
2012,1,B1121,2,8086,82,112,107,19,0,1877,3223
2012,1,B1222,1,5064,83,113,103,16,0,2849,4815
2012,1,B1222,2,6086,80,110,110,15,0,3450,5877
2012,1,B1224,1,7081,89,119,120,14,0,3765,6275
2012,1,B1224,2,8098,89,119,111,17,0,3467,5940
2012,1,B1078,1,7142,81,111,103,16,0,2630,4526
2012,1,B1078,2,8085,82,112,100,18,0,2207,3695
2012,1,B1124,1,7127,86,116,106,14,0,2202,3781
2012,1,B1124,2,8081,85,115,104,12,0,2341,4079
2012,1,B1125,1,5048,79,109,98,17,0,2677,4576
2012,1,B1125,2,6099,80,110,104,19,0,2602,4488
2012,1,B1126,1,7085,96,126,114,22,0,2998,5014
2012,1,B1126,2,8011,95,125,107,17,0,3282,5597
2012,1,B1022,1,5017,80,110,96,14,0,3137,5490
2012,1,B1022,2,6006,78,108,102,12,0,3037,5232
2012,1,B1024,1,5100,80,110,93,13,0,4185,7194
2012,1,B1024,2,6052,80,110,95,13,0,3584,6098
2012,1,B1025,1,5055,78,108,106,21,0,3243,5575
2012,1,B1025,2,6082,77,107,94,19,0,3107,5401
2012,1,B1026,1,5037,78,108,91,14,0,3873,6553
2012,1,B1026,2,6061,78,108,95,13,0,3625,6224
2012,1,B1027,1,5053,79,109,102,15,0,3516,5989
2012,1,B1027,2,6008,77,107,95,11,0,4150,7013
2012,1,B1029,1,5033,70,100,98,12,0,3641,6195
2012,1,B1029,2,6095,81,111,124,8,0,3650,6260
2012,1,B1084,1,7145,83,113,109,27,0,2605,4372
2012,1,B1084,2,8019,85,115,107,18,0,2677,4576
2012,1,B1112,1,7032,87,117,104,25,0,2988,5160
2012,1,B1112,2,8095,88,118,106,17,0,3108,5294
2012,1,M1478,1,3040,83,113,105,18,0,2331,3980
2012,1,M1478,2,4042,86,116,135,17,0,2165,3692
2012,1,M1479,1,1030,78,108,85,18,0,3252,5590
2012,1,M1479,2,2021,78,108,92,14,0,3073,5306
2012,1,A1331,1,3007,85,115,104,17,0,3460,5793
2012,1,A1331,2,4095,84,114,104,17,0,3352,5613
2012,1,A1332,1,3069,87,117,97,9,0,2338,3969
2012,1,A1332,2,4083,90,120,105,19,0,2764,4725
2012,1,A1333,1,3051,87,117,100,22,0,3180,5380
2012,1,A1333,2,4011,84,114,110,16,0,2678,4645
2012,1,A1294,1,1002,78,108,104,12,0,2940,5077
2012,1,A1294,2,2020,77,107,89,17,0,3433,5855
2012,1,A1295,1,1028,79,109,89,19,0,3383,5802
2012,1,A1295,2,2056,77,107,98,13,0,2839,4847
2012,1,A1296,1,1023,80,110,101,18,0,2752,4763
2012,1,A1296,2,2036,78,108,108,15,0,2983,5012
2012,1,A1337,1,3028,86,116,113,22,0,3444,5920
2012,1,A1337,2,4088,86,116,112,11,0,3553,6032
