GHID,YEAR,SEASON,REP,PLOTNO,FL,MAT,PLTHGT,TILLER,LDG,Plot_Yld,Kg_ha
B1006,2012,2,3,124,92,122,119,21,0,3354,5733
B1107,2012,2,1,771,94,124,133,11,0,2976,4966
B1107,2012,2,2,849,93,123,125,11,0,3478,5911
B1107,2012,2,3,864,94,124,148,14,0,2858,4880
B1211,2012,2,1,903,94,124,120,9,0,3182,5488
B1211,2012,2,2,992,94,124,128,14,0,2735,4754
B1211,2012,2,3,1034,95,125,120,16,0,2671,4560
A1264,2012,2,1,50,87,117,106,12,0,3229,5382
A1264,2012,2,2,66,89,119,104,16,0,2174,3724
A1264,2012,2,3,114,86,116,114,18,0,3578,6019
A1265,2012,2,1,451,95,125,124,15,0,3550,6054
A1265,2012,2,2,539,94,124,125,15,0,2494,4321
A1265,2012,2,3,566,95,125,122,15,0,3146,5365
A1316,2012,2,1,341,87,117,136,10,0,2650,4463
A1316,2012,2,2,351,88,118,119,18,0,3556,5989
A1316,2012,2,3,414,86,116,120,15,0,3354,5688
A1269,2012,2,1,301,94,124,132,17,0,2849,4853
A1269,2012,2,2,380,94,124,133,15,0,3208,5552
A1269,2012,2,3,448,93,123,133,17,0,2723,4644
A1273,2012,2,1,197,87,117,121,16,0,3052,5199
A1273,2012,2,2,233,91,121,127,17,0,2750,4669
A1273,2012,2,3,272,92,122,125,15,0,3026,5155
A1274,2012,2,1,28,87,117,106,13,0,3333,5587
A1274,2012,2,2,72,86,116,105,18,0,3654,6182
A1274,2012,2,3,136,85,115,110,15,0,3209,5479
A1275,2012,2,1,307,89,119,111,15,0,3121,5244
A1275,2012,2,2,382,90,120,118,16,0,2748,4612
A1275,2012,2,3,447,90,120,124,15,0,3057,5208
A1276,2012,2,1,153,92,122,126,12,9,2900,4839
A1276,2012,2,2,205,91,121,125,14,0,3253,5441
A1276,2012,2,3,257,91,121,135,13,3,3545,5956
A1279,2012,2,1,766,91,121,111,17,0,2379,3970
A1279,2012,2,2,832,90,120,105,15,0,2467,4183
A1279,2012,2,3,862,91,121,113,19,0,2760,4616
M1367,2012,2,1,478,101,131,130,12,0,2908,5010
M1367,2012,2,2,509,102,132,123,12,0,2822,4774
M1367,2012,2,3,562,103,133,127,14,0,2861,4924
B1155,2012,2,1,475,89,119,114,12,0,3208,5396
B1155,2012,2,2,511,91,121,116,16,0,2452,4196
B1155,2012,2,3,552,94,124,119,12,0,2618,4521
B1057,2012,2,1,9,90,120,134,11,0,2247,3867
B1057,2012,2,2,52,92,122,126,10,0,2539,4389
B1057,2012,2,3,142,90,120,127,13,0,2387,4080
B1157,2012,2,1,760,92,122,128,21,0,2944,5038
B1157,2012,2,2,845,94,124,129,12,0,3465,5835
B1157,2012,2,3,869,92,122,133,14,0,3090,5150
B1011,2012,2,1,1374,101,131,129,13,0,2962,5063
B1011,2012,2,2,1404,97,127,115,15,0,2508,4336
B1011,2012,2,3,1467,100,130,128,11,0,2660,4614
A1267,2012,2,1,29,89,119,122,12,0,3259,5520
A1267,2012,2,2,93,91,121,125,17,0,3183,5305
A1267,2012,2,3,120,88,118,129,16,0,3130,5235
A1272,2012,2,1,42,89,119,110,13,0,3030,5179
A1272,2012,2,2,89,89,119,100,21,0,2943,4922
A1272,2012,2,3,130,87,117,110,13,0,2962,4977
A1270,2012,2,1,472,93,123,125,11,0,3176,5484
A1270,2012,2,2,522,94,124,124,14,0,3039,5212
A1270,2012,2,3,553,94,124,129,17,0,2890,5035
A1277,2012,2,1,309,87,117,124,13,0,3184,5387
A1277,2012,2,2,392,90,120,128,14,0,3231,5404
A1277,2012,2,3,429,90,120,132,16,0,2585,4338
A1321,2012,2,1,1207,96,126,123,12,0,2564,4308
A1321,2012,2,2,1262,95,125,128,13,0,2193,3732
A1321,2012,2,3,1330,97,127,123,18,0,2398,4136
A1317,2012,2,1,1058,95,125,132,17,0,3505,6045
A1317,2012,2,2,1103,94,124,127,17,0,3514,6041
A1317,2012,2,3,1200,97,127,124,12,0,3523,5933
A1318,2012,2,1,632,97,127,144,15,0,2672,4593
A1318,2012,2,2,652,96,126,134,15,0,3391,5711
A1318,2012,2,3,703,94,124,115,15,0,2264,3896
A1319,2012,2,1,609,97,127,136,10,0,2936,5127
A1319,2012,2,2,665,96,126,137,14,0,2542,4404
A1319,2012,2,3,715,95,125,127,13,0,2975,5033
A1320,2012,2,1,1356,100,130,128,13,0,2572,4406
A1320,2012,2,2,1410,100,130,114,13,0,2276,3917
A1320,2012,2,3,1470,105,135,125,10,0,2502,4369
A1268,2012,2,1,167,88,118,122,15,0,3026,5178
A1268,2012,2,2,234,91,121,120,23,0,2906,5069
A1268,2012,2,3,259,91,121,120,15,0,3401,5774
M1362,2012,2,1,648,90,120,138,11,0,2353,4036
M1362,2012,2,2,691,96,126,115,9,0,2413,4125
M1362,2012,2,3,708,96,126,118,13,0,2313,3949
M1363,2012,2,1,1066,96,126,124,15,0,2558,4362
M1363,2012,2,2,1149,96,126,122,11,0,2944,5044
M1363,2012,2,3,1175,96,126,124,14,0,3018,5083
M1347,2012,2,1,633,94,124,108,13,0,2237,3884
M1347,2012,2,2,654,93,123,114,16,0,2582,4378
M1347,2012,2,3,722,92,122,113,16,0,2441,4187
M1364,2012,2,1,162,86,116,121,11,0,2487,4294
M1364,2012,2,2,206,91,121,123,14,0,2597,4439
M1364,2012,2,3,267,89,119,124,12,0,2531,4375
M1365,2012,2,1,173,82,112,113,12,0,3301,5578
M1365,2012,2,2,214,84,114,113,12,0,3339,5591
M1365,2012,2,3,291,85,115,111,11,0,3148,5356
M1368,2012,2,1,187,89,119,117,18,0,2860,4833
M1368,2012,2,2,208,86,116,113,12,5,2872,4931
M1368,2012,2,3,286,89,119,115,13,0,2417,4094
M1366,2012,2,1,901,96,126,133,10,0,3203,5500
M1366,2012,2,2,989,97,127,139,10,0,3546,6102
M1366,2012,2,3,1009,95,125,134,9,0,3111,5336
B1216,2012,2,1,605,93,123,115,12,0,2569,4391
B1216,2012,2,2,651,93,123,117,13,0,2681,4531
B1216,2012,2,3,712,94,124,115,9,0,2579,4328
B1007,2012,2,1,8,85,115,130,12,0,3122,5300
B1007,2012,2,2,95,86,116,120,13,5,2905,4943
B1007,2012,2,3,102,86,116,125,11,7,3050,5113
B1008,2012,2,1,17,85,115,97,14,0,2472,4154
B1008,2012,2,2,90,87,117,91,19,0,3174,5321
B1008,2012,2,3,149,92,122,96,16,0,2719,4605
B1009,2012,2,1,18,85,115,103,12,0,2681,4494
B1009,2012,2,2,56,89,119,107,21,0,2873,4816
B1009,2012,2,3,101,91,121,109,13,0,2720,4554
B1158,2012,2,1,774,95,125,136,14,0,2918,5107
B1158,2012,2,2,811,94,124,125,17,3,3160,5377
B1158,2012,2,3,867,94,124,121,19,0,3623,6193
B1159,2012,2,1,1053,93,123,121,12,0,2610,4451
B1159,2012,2,2,1115,93,123,126,12,0,2789,4800
B1159,2012,2,3,1152,91,121,123,12,0,2407,4114
B1160,2012,2,1,10,89,119,127,9,0,2630,4434
B1160,2012,2,2,74,87,117,123,16,0,2887,4834
B1160,2012,2,3,105,91,121,113,10,0,2537,4278
B1110,2012,2,1,761,93,123,135,9,0,2483,4153
B1110,2012,2,2,805,94,124,126,21,7,2833,4908
B1110,2012,2,3,874,96,126,127,15,0,3758,6445
B1111,2012,2,1,939,95,125,122,13,0,3213,5529
B1111,2012,2,2,970,95,125,120,13,5,2672,4547
B1111,2012,2,3,1024,95,125,123,13,0,3170,5406
B1161,2012,2,1,617,94,124,133,11,0,2421,4087
B1161,2012,2,2,660,93,123,117,9,0,2074,3573
B1161,2012,2,3,705,103,133,120,11,0,2700,4636
B1062,2012,2,1,459,90,120,114,13,0,2514,4307
B1062,2012,2,2,505,91,121,110,20,0,3321,5844
B1062,2012,2,3,593,94,124,109,19,0,3442,5950
B1010,2012,2,1,165,91,121,119,16,0,3256,5509
B1010,2012,2,2,228,95,125,115,10,0,3178,5488
B1010,2012,2,3,252,94,124,123,11,0,3330,5653
B1217,2012,2,1,1381,104,134,130,12,0,2594,4479
B1217,2012,2,2,1418,100,130,122,12,0,3094,5205
B1217,2012,2,3,1476,100,130,125,9,0,3338,5751
B1218,2012,2,1,912,89,119,106,13,0,2460,4229
B1218,2012,2,2,952,89,119,110,10,0,3330,5718
